(plus Z x1) = x1 ,1
(lessp x1 Z) = (lessp Z Z)  ,0
(lessp x1 x1) = (lessp Z Z)  ,0
(plus x3 x1) = (plus x1 x3) ,1
(lessp (plus x1 x3) x1) = (lessp Z Z)  ,0
(lessp Z (plus x1 x1)) = (lessp Z x1)  ,0
(lessp x3 (plus x1 x3)) = (lessp Z x1)  ,0
(lessp (plus x1 (plus x3 x5)) x3) = (lessp Z Z)  ,0
(lessp x1 (plus x1 (plus x3 x3))) = (lessp Z x3)  ,0
(lessp (plus x1 x5) (plus x3 x5)) = (lessp x1 x3)  ,1
(lessp (plus x1 x1) (plus x1 x3)) = (lessp x1 x3)  ,0
(lessp (plus x1 x1) (plus x3 x3)) = (lessp x1 x3)  ,0
(lessp (plus x1 x3) (plus x1 x1)) = (lessp x3 x1)  ,0
(plus x3 (plus x1 x5)) = (plus x1 (plus x3 x5)) ,1
(plus (plus x1 x3) x5) = (plus x1 (plus x3 x5)) ,1
(lessp (plus x1 (plus x1 x5)) x3) = (lessp (plus x1 x5) x3)  ,0
(lessp Z (plus x1 (plus x3 x3))) = (lessp Z (plus x1 x3))  ,0
(lessp Z (plus x1 (plus x1 x3))) = (lessp Z (plus x1 x3))  ,0
(lessp x3 (plus x1 (plus x3 x5))) = (lessp Z (plus x1 x5))  ,0
(lessp x5 (plus x1 (plus x3 x5))) = (lessp Z (plus x1 x3))  ,0
(plus x0 (succ_nat x1)) = (succ_nat (plus x0 x1)) ,1
(plus (succ_nat x0) x1) = (succ_nat (plus x0 x1)) ,1
(times Z x0) = Z ,1
(times (succ_nat Z) x0) = x0 ,0
(times x1 x0) = (times x0 x1) ,0
(plus x1 x0) = (plus x0 x1) ,0
(plus x0 (succ_nat x1)) = (succ_nat (plus x0 x1)) ,0
(plus (succ_nat x0) x1) = (succ_nat (plus x0 x1)) ,0
(times x0 (succ_nat x1)) = (plus x0 (times x0 x1)) ,1
(plus x1 (plus x0 x2)) = (plus x0 (plus x1 x2)) ,0
(plus (plus x0 x1) x2) = (plus x0 (plus x1 x2)) ,0
(times x1 (times x0 x2)) = (times x0 (times x1 x2)) ,1
(times (times x0 x1) x2) = (times x0 (times x1 x2)) ,1
(succ_nat (times (succ_nat x0) x1)) = (succ_nat (plus x1 (times x0 x1))) ,0
(times (succ_nat (succ_nat x0)) x1) = (plus x1 (plus x1 (times x0 x1))) ,0
(times x0 (plus x1 x1)) = (plus (times x0 x1) (times x0 x1)) ,0
(times (plus x0 x1) x2) = (plus (times x0 x2) (times x1 x2)) ,0
(times x1 (plus x0 x2)) = (plus (times x0 x1) (times x1 x2)) ,0
(times (succ_nat (times x0 x1)) x2) = (plus x2 (times x0 (times x1 x2))) ,0
(plus (times (succ_nat x0) x1) x2) = (plus x1 (plus (times x0 x1) x2)) ,0
(plus x0 (times (succ_nat x1) x2)) = (plus x0 (plus x2 (times x1 x2))) ,0
(times x0 (times (succ_nat x1) x2)) = (plus (times x0 x2) (times x0 (times x1 x2))) ,0
(times (succ_nat x0) (times x1 x2)) = (plus (times x1 x2) (times x0 (times x1 x2))) ,0
(times x0 (plus x1 x1)) = (plus (times x0 x1) (times x0 x1)), 1
(times (plus x0 x1) x2) = (plus (times x0 x2) (times x1 x2)), 1
(times x1 (plus x0 x2)) = (plus (times x0 x1) (times x1 x2)), 1
((||) x1 x1) = x1 ,0
(equal_nat x0 x0) = (equal_nat Z Z) ,0
(equal_nat x2 x0) = (equal_nat x0 x2) ,0
((||) x3 x1) = ((||) x1 x3) ,0
((||) (equal_nat Z Z) x1) = (equal_nat Z Z) ,0
((||) x3 ((||) x1 x3)) = ((||) x1 x3) ,0
((||) x1 ((||) x1 x3)) = ((||) x1 x3) ,0
((||) ((||) x1 x3) x5) = ((||) x1 ((||) x3 x5)) ,0
(equal_nat (times x0 x0) x2) = (equal_nat x0 (times x2 x2)) ,0
(equal_nat Z (times x0 x2)) = ((||) (equal_nat Z x0) (equal_nat Z x2)) ,1
